Character,Chosen Tone,Review Status,Possible Source Tones,Readings,Pingshui Rhyme Group,Rhyme Group Source,Source Row Count,Notes,Chosen Ping-Ze,Source Ping-Ze,Preliminary Source
㐱,上,"=IF(B2="""",""Needs decision"",""Ready"")",上,tsyinX (B),,,1,,"=IF(B2="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2)),OR(ISNUMBER(SEARCH(""上"",B2)),ISNUMBER(SEARCH(""去"",B2)),ISNUMBER(SEARCH(""入"",B2)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2)),""平"",""仄"")))","=IF(D2="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2)),OR(ISNUMBER(SEARCH(""上"",D2)),ISNUMBER(SEARCH(""去"",D2)),ISNUMBER(SEARCH(""入"",D2)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2)),""平"",""仄"")))",
㓞,入,"=IF(B3="""",""Needs decision"",""Ready"")",入,kheat (D),,,1,,"=IF(B3="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3)),OR(ISNUMBER(SEARCH(""上"",B3)),ISNUMBER(SEARCH(""去"",B3)),ISNUMBER(SEARCH(""入"",B3)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3)),""平"",""仄"")))","=IF(D3="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3)),OR(ISNUMBER(SEARCH(""上"",D3)),ISNUMBER(SEARCH(""去"",D3)),ISNUMBER(SEARCH(""入"",D3)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3)),""平"",""仄"")))",
㓠,,"=IF(B4="""",""Needs decision"",""Ready"")",上/去,temX (B); temH (C),,,2,,"=IF(B4="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B4)),OR(ISNUMBER(SEARCH(""上"",B4)),ISNUMBER(SEARCH(""去"",B4)),ISNUMBER(SEARCH(""入"",B4)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B4)),""平"",""仄"")))","=IF(D4="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D4)),OR(ISNUMBER(SEARCH(""上"",D4)),ISNUMBER(SEARCH(""去"",D4)),ISNUMBER(SEARCH(""入"",D4)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D4)),""平"",""仄"")))",
㓷,去,"=IF(B5="""",""Needs decision"",""Ready"")",去,ngjejH (C),,,1,,"=IF(B5="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B5)),OR(ISNUMBER(SEARCH(""上"",B5)),ISNUMBER(SEARCH(""去"",B5)),ISNUMBER(SEARCH(""入"",B5)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B5)),""平"",""仄"")))","=IF(D5="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D5)),OR(ISNUMBER(SEARCH(""上"",D5)),ISNUMBER(SEARCH(""去"",D5)),ISNUMBER(SEARCH(""入"",D5)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D5)),""平"",""仄"")))",
㔩,入,"=IF(B6="""",""Needs decision"",""Ready"")",入,'op [ʔ̙əp] (入),,,1,Tang 300 gap; frequency 1; provisional from Xun Gong,"=IF(B6="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B6)),OR(ISNUMBER(SEARCH(""上"",B6)),ISNUMBER(SEARCH(""去"",B6)),ISNUMBER(SEARCH(""入"",B6)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B6)),""平"",""仄"")))","=IF(D6="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D6)),OR(ISNUMBER(SEARCH(""上"",D6)),ISNUMBER(SEARCH(""去"",D6)),ISNUMBER(SEARCH(""入"",D6)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D6)),""平"",""仄"")))","Xun Gong, Tang 300 gap fill"
㕚,上,"=IF(B7="""",""Needs decision"",""Ready"")",上,tsraewX (B),,,1,,"=IF(B7="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B7)),OR(ISNUMBER(SEARCH(""上"",B7)),ISNUMBER(SEARCH(""去"",B7)),ISNUMBER(SEARCH(""入"",B7)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B7)),""平"",""仄"")))","=IF(D7="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D7)),OR(ISNUMBER(SEARCH(""上"",D7)),ISNUMBER(SEARCH(""去"",D7)),ISNUMBER(SEARCH(""入"",D7)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D7)),""平"",""仄"")))",
㘣,平,"=IF(B8="""",""Needs decision"",""Ready"")",平,zjwen (A),,,1,,"=IF(B8="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B8)),OR(ISNUMBER(SEARCH(""上"",B8)),ISNUMBER(SEARCH(""去"",B8)),ISNUMBER(SEARCH(""入"",B8)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B8)),""平"",""仄"")))","=IF(D8="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D8)),OR(ISNUMBER(SEARCH(""上"",D8)),ISNUMBER(SEARCH(""去"",D8)),ISNUMBER(SEARCH(""入"",D8)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D8)),""平"",""仄"")))",
㝌,去,"=IF(B9="""",""Needs decision"",""Ready"")",去,kjuwH (C),,,1,,"=IF(B9="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B9)),OR(ISNUMBER(SEARCH(""上"",B9)),ISNUMBER(SEARCH(""去"",B9)),ISNUMBER(SEARCH(""入"",B9)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B9)),""平"",""仄"")))","=IF(D9="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D9)),OR(ISNUMBER(SEARCH(""上"",D9)),ISNUMBER(SEARCH(""去"",D9)),ISNUMBER(SEARCH(""入"",D9)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D9)),""平"",""仄"")))",
㝐,平,"=IF(B10="""",""Needs decision"",""Ready"")",平,yowng (A),,,1,,"=IF(B10="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B10)),OR(ISNUMBER(SEARCH(""上"",B10)),ISNUMBER(SEARCH(""去"",B10)),ISNUMBER(SEARCH(""入"",B10)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B10)),""平"",""仄"")))","=IF(D10="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D10)),OR(ISNUMBER(SEARCH(""上"",D10)),ISNUMBER(SEARCH(""去"",D10)),ISNUMBER(SEARCH(""入"",D10)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D10)),""平"",""仄"")))",
㝢,上,"=IF(B11="""",""Needs decision"",""Ready"")",上,,,,,Manual user correction/addition,"=IF(B11="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B11)),OR(ISNUMBER(SEARCH(""上"",B11)),ISNUMBER(SEARCH(""去"",B11)),ISNUMBER(SEARCH(""入"",B11)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B11)),""平"",""仄"")))","=IF(D11="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D11)),OR(ISNUMBER(SEARCH(""上"",D11)),ISNUMBER(SEARCH(""去"",D11)),ISNUMBER(SEARCH(""入"",D11)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D11)),""平"",""仄"")))",manual user correction
