Simplified or variant form,Normalizes to,Target in database,Form also has own database row
万,萬,yes,no
与,與,yes,yes
东,東,yes,no
丝,絲,yes,no
两,兩,yes,no
严,嚴,yes,no
丧,喪,yes,no
个,個,yes,yes
丰,豐,yes,no
临,臨,yes,no
为,為,yes,no
乌,烏,yes,no
乐,樂,yes,no
乔,喬,yes,no
习,習,yes,no
乡,鄉,yes,no
书,書,yes,no
买,買,yes,no
乱,亂,yes,no
争,爭,yes,no
于,於,yes,yes
亏,虧,yes,no
云,雲,yes,yes
亚,亞,yes,no
产,產,yes,no
亩,畝,yes,no
亲,親,yes,no
亵,褻,yes,no
亿,億,yes,no
仅,僅,yes,no
从,從,yes,no
仑,侖,no,no
仓,倉,yes,no
仪,儀,yes,no
们,們,no,no
价,價,yes,no
众,眾,yes,no
优,優,yes,no
会,會,yes,no
伛,傴,yes,no
伞,傘,yes,no
伟,偉,yes,no
传,傳,yes,no
伤,傷,yes,no
伦,倫,yes,no
伪,偽,yes,no
体,體,yes,no
余,餘,yes,yes
佛,佛,yes,yes
佣,傭,yes,no
佥,僉,yes,no
侠,俠,yes,no
侣,侶,yes,no
侥,僥,yes,no
侦,偵,yes,no
侧,側,yes,no
侨,僑,yes,no
侩,儈,yes,no
侪,儕,yes,no
侬,儂,yes,no
俣,俁,yes,no
俦,儔,yes,no
俨,儼,yes,no
俩,倆,no,no
俭,儉,yes,no
债,債,yes,no
倾,傾,yes,no
偻,僂,yes,no
偿,償,yes,no
傥,儻,yes,no
储,儲,yes,no
儿,兒,yes,no
兑,兌,yes,yes
党,黨,yes,no
兰,蘭,yes,no
关,關,yes,no
兴,興,yes,no
兹,茲,yes,no
养,養,yes,no
兽,獸,yes,no
冈,岡,yes,no
写,寫,yes,no
军,軍,yes,no
农,農,yes,no
冯,馮,yes,no
冲,衝,yes,yes
决,決,yes,no
况,況,yes,no
冻,凍,yes,no
净,淨,yes,no
凄,淒,yes,no
凉,涼,yes,no
凌,凌,yes,yes
减,減,yes,no
凑,湊,yes,no
凤,鳳,yes,no
凭,憑,yes,no
凯,凱,yes,no
击,擊,yes,no
凿,鑿,yes,no
刍,芻,yes,no
刘,劉,yes,no
则,則,yes,no
刚,剛,yes,no
创,創,yes,no
删,刪,yes,no
别,別,yes,no
刬,剗,no,no
刭,剄,yes,no
剂,劑,yes,no
剐,剮,no,no
剑,劍,yes,no
剧,劇,yes,no
劝,勸,yes,no
办,辦,yes,no
务,務,yes,no
动,動,yes,no
励,勵,yes,no
劲,勁,yes,no
劳,勞,yes,no
势,勢,yes,no
勋,勳,yes,no
匀,勻,yes,yes
匦,匭,yes,no
区,區,yes,no
医,醫,yes,no
华,華,yes,no
协,協,yes,no
单,單,yes,no
卖,賣,yes,no
卢,盧,yes,no
卫,衛,yes,no
却,卻,yes,yes
厂,廠,yes,yes
厅,廳,yes,no
历,歷,yes,no
厉,厲,yes,no
压,壓,yes,no
厌,厭,yes,no
厕,廁,yes,no
县,縣,yes,no
参,參,yes,no
双,雙,yes,no
发,發,yes,no
变,變,yes,no
叙,敘,yes,no
叶,葉,yes,no
号,號,yes,yes
叹,嘆,yes,no
叽,嘰,yes,no
吁,籲,yes,yes
后,後,yes,yes
吓,嚇,yes,no
吕,呂,yes,no
吗,嗎,no,no
听,聽,yes,no
启,啟,yes,yes
吴,吳,yes,no
呐,吶,yes,no
呕,嘔,yes,no
员,員,yes,no
呜,嗚,yes,no
咏,詠,yes,yes
咙,嚨,yes,no
响,響,yes,no
哑,啞,yes,no
哗,嘩,no,no
哟,喲,no,no
唤,喚,yes,no
啓,啟,yes,no
啸,嘯,yes,no
喷,噴,yes,no
喽,嘍,no,no
嗫,囁,no,no
嚣,囂,yes,no
团,團,yes,no
园,園,yes,no
围,圍,yes,no
国,國,yes,no
图,圖,yes,no
圆,圓,yes,no
圣,聖,yes,no
场,場,yes,no
坏,壞,yes,no
块,塊,yes,no
坚,堅,yes,no
坛,壇,yes,no
坝,壩,no,no
坟,墳,yes,no
坠,墜,yes,no
垄,壟,yes,no
垒,壘,yes,no
垦,墾,yes,no
垩,堊,yes,no
垫,墊,yes,no
垭,埡,no,no
垲,塏,yes,no
垴,堖,no,no
埘,塒,yes,no
埙,塤,yes,no
埚,堝,yes,no
堑,塹,yes,no
堕,墮,yes,no
墙,牆,yes,no
壮,壯,yes,no
声,聲,yes,no
壳,殼,yes,no
壶,壺,yes,no
处,處,yes,no
备,備,yes,no
复,復,yes,yes
够,夠,no,no
头,頭,yes,no
夹,夾,yes,no
夺,奪,yes,no
奋,奮,yes,no
奖,獎,yes,no
奥,奧,yes,no
妆,妝,yes,no
妇,婦,yes,no
妈,媽,no,no
妩,嫵,yes,no
姗,姍,yes,no
姹,奼,yes,no
娄,婁,yes,no
娅,婭,yes,no
娆,嬈,yes,no
娇,嬌,yes,no
娱,娛,yes,no
娲,媧,yes,no
娴,嫻,no,no
婴,嬰,yes,no
婵,嬋,yes,no
婶,嬸,yes,no
媪,媼,yes,no
嫒,嬡,yes,no
嫔,嬪,yes,no
孙,孫,yes,no
学,學,yes,no
宁,寧,yes,no
宝,寶,yes,no
实,實,yes,no
宠,寵,yes,no
审,審,yes,no
宪,憲,yes,no
宫,宮,yes,no
宽,寬,yes,no
宾,賓,yes,no
寝,寢,yes,no
对,對,yes,no
寻,尋,yes,no
导,導,yes,no
寿,壽,yes,no
将,將,yes,no
尔,爾,yes,yes
尘,塵,yes,no
尝,嘗,yes,no
尧,堯,yes,no
层,層,yes,no
屦,屨,yes,no
屿,嶼,yes,no
岁,歲,yes,no
岂,豈,yes,no
岖,嶇,yes,no
岗,崗,no,no
岘,峴,yes,no
岚,嵐,yes,no
岛,島,yes,no
岭,嶺,yes,no
岳,嶽,yes,yes
峡,峽,yes,no
峣,嶢,yes,no
峤,嶠,yes,no
峥,崢,yes,no
峦,巒,yes,no
崂,嶗,no,no
崃,崍,yes,no
崭,嶄,no,no
嵘,嶸,yes,no
嵚,嶔,yes,no
巅,巔,yes,no
巩,鞏,yes,no
巯,巰,no,no
币,幣,yes,no
帅,帥,yes,no
师,師,yes,no
帐,帳,yes,no
帘,簾,yes,no
帜,幟,yes,no
带,帶,yes,no
帧,幀,no,no
帮,幫,no,no
帱,幬,yes,no
幂,冪,yes,no
并,並,yes,yes
广,廣,yes,no
庄,莊,yes,no
庆,慶,yes,no
庐,廬,yes,no
库,庫,yes,no
应,應,yes,no
庙,廟,yes,no
废,廢,yes,no
庵,菴,yes,yes
庶,庶,yes,yes
廊,廊,yes,yes
开,開,yes,no
异,異,yes,yes
弃,棄,yes,yes
弑,弒,yes,no
张,張,yes,no
弥,彌,yes,no
弦,弦,yes,yes
弯,彎,yes,no
弹,彈,yes,no
强,強,yes,yes
归,歸,yes,no
当,當,yes,no
录,錄,yes,no
彦,彥,yes,no
彻,徹,yes,no
径,徑,yes,no
徕,徠,yes,no
忆,憶,yes,no
忧,憂,yes,no
忾,愾,yes,no
怀,懷,yes,no
态,態,yes,no
怂,慫,no,no
怃,憮,yes,no
怄,慪,no,no
怜,憐,yes,no
总,總,yes,no
恋,戀,yes,no
恒,恆,yes,yes
恳,懇,yes,no
恶,惡,yes,no
恸,慟,yes,no
恹,懨,no,no
恺,愷,yes,no
恻,惻,yes,no
恼,惱,yes,no
悦,悅,yes,yes
悬,懸,yes,no
悭,慳,yes,no
悯,憫,yes,no
惊,驚,yes,no
惧,懼,yes,no
惨,慘,yes,no
惩,懲,yes,no
惫,憊,yes,no
惬,愜,yes,no
惭,慚,yes,no
惮,憚,yes,no
惯,慣,yes,no
愍,愍,yes,yes
愤,憤,yes,no
愿,願,yes,no
慑,懾,yes,no
懒,懶,yes,no
懔,懍,yes,no
戆,戇,no,no
戋,戔,yes,no
戏,戲,yes,no
戗,戧,no,no
战,戰,yes,no
戬,戩,yes,no
户,戶,yes,no
扎,紮,no,no
扑,撲,yes,no
执,執,yes,no
扩,擴,yes,no
扪,捫,yes,no
扫,掃,yes,no
扬,揚,yes,no
扰,擾,yes,no
抚,撫,yes,no
抛,拋,yes,no
抟,摶,yes,no
抢,搶,yes,no
护,護,yes,no
报,報,yes,no
担,擔,yes,no
拟,擬,yes,no
拢,攏,yes,no
拣,揀,yes,no
拥,擁,yes,no
拦,攔,yes,no
拨,撥,yes,no
择,擇,yes,no
挂,掛,yes,yes
挚,摯,yes,no
挛,攣,yes,no
挟,挾,yes,no
挠,撓,yes,no
挡,擋,yes,no
挢,撟,yes,no
挣,掙,no,no
挤,擠,yes,no
挥,揮,yes,no
挦,撏,yes,no
捞,撈,yes,no
损,損,yes,no
捡,撿,no,no
换,換,yes,no
捣,搗,yes,no
据,據,yes,no
掳,擄,no,no
掷,擲,yes,no
掸,撣,yes,no
掺,摻,yes,no
揽,攬,yes,no
揿,撳,no,no
搀,攙,yes,no
搁,擱,no,no
搂,摟,yes,no
搅,攪,yes,no
携,攜,yes,no
摄,攝,yes,no
摅,攄,yes,no
摆,擺,yes,no
摇,搖,yes,no
摈,擯,yes,no
摊,攤,yes,no
撄,攖,yes,no
撑,撐,yes,no
撵,攆,no,no
撷,擷,yes,no
撸,擼,no,no
撺,攛,yes,no
擞,擻,yes,no
攒,攢,yes,no
敌,敵,yes,no
敛,斂,yes,no
数,數,yes,no
斋,齋,yes,no
斓,斕,yes,no
斗,鬥,yes,yes
斩,斬,yes,no
断,斷,yes,no
无,無,yes,yes
旧,舊,yes,no
时,時,yes,no
旷,曠,yes,no
昙,曇,yes,no
昼,晝,yes,no
晋,晉,yes,no
晓,曉,yes,no
晔,曄,yes,no
晕,暈,yes,no
晖,暉,yes,no
暂,暫,yes,no
暧,曖,yes,no
术,術,yes,no
机,機,yes,yes
杀,殺,yes,no
杂,雜,yes,no
权,權,yes,no
杆,桿,no,no
条,條,yes,no
来,來,yes,no
杨,楊,yes,no
杩,榪,no,no
